Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
21-07-2020,162,168,159.2,167.2,164.19,562363,5115,92337008,56625,10.07,8.8,5.2
22-07-2020,167,171.75,162.3,169.25,168.39,479129,4859,80681468,36688,7.66,9.45,2.25
23-07-2020,169.25,170.7,165.6,169.9,169.03,228596,2541,38639657,25076,10.97,5.1,0.65
24-07-2020,168.9,169.65,163.85,168.7,167.61,323097,3120,54153695,19761,6.12,5.8,-0.2
27-07-2020,167.5,168.9,163.25,165.75,165.53,202174,1810,33466755,25372,12.55,5.65,-1.75
28-07-2020,167.8,175,163.7,173.65,170.56,430930,4823,73497532,51137,11.87,11.3,5.85
29-07-2020,174.6,190.75,172.25,179.35,182.81,954761,9701,174542918,156303,16.37,18.5,4.75
30-07-2020,179.3,181.2,173.4,175.05,176.69,229426,2567,40538128,47194,20.57,7.8,-4.25
31-07-2020,172.25,178.5,172.2,175.2,175.49,130970,1352,22983819,15139,11.56,6.3,2.95
03-08-2020,175,178.7,171.35,172.15,175.28,106290,1041,18630559,18832,17.72,7.35,-2.85
04-08-2020,174.85,183.9,172.45,182.2,179.14,240590,1885,43099011,72918,30.31,11.45,7.35
05-08-2020,183.5,184.75,178.5,179.35,181.9,282677,2642,51418208,122818,43.45,6.25,-4.15
06-08-2020,180.9,188,177.45,185.7,183.62,288417,2406,52959004,41666,14.45,10.55,4.8
07-08-2020,181,195,181,192.75,189.95,453519,3994,86144287,65215,14.38,14,11.75
10-08-2020,193.65,198.1,192.3,195.6,195.5,261905,2329,51201202,48842,18.65,5.8,1.95
11-08-2020,197,199.6,194.4,195.8,196.91,106656,1580,21001392,25148,23.58,5.2,-1.2
12-08-2020,196.5,200.7,191.6,197.95,196.64,207492,1559,40800810,23879,11.51,9.1,1.45
13-08-2020,199,203.25,198,200.9,200.53,221031,2216,44323770,42395,19.18,5.25,1.9
14-08-2020,203,204.45,191.6,196.15,201.24,710890,5473,143059220,121478,17.09,12.85,-6.85
17-08-2020,198,201.6,196.05,197.75,199.41,368182,2059,73419978,61168,16.61,5.55,-0.25
18-08-2020,199.25,216.75,199.25,213.7,210.71,589267,4786,124164084,89807,15.24,17.5,14.45
19-08-2020,215.5,245.65,214.2,239.05,231.34,1475786,18829,341412728,129666,8.79,31.45,23.55
20-08-2020,241.95,245.1,230.3,234.05,237.81,912905,12548,217093410,94038,10.3,14.8,-7.9
21-08-2020,238,244.5,231.1,233.2,238.39,561974,7279,133967944,81006,14.41,13.4,-4.8
24-08-2020,235.5,253.8,235.3,249.25,245.09,858793,8466,210483348,75745,8.82,18.5,13.75
25-08-2020,251,322.65,250,308.3,286.09,4156950,36497,1189270002,364629,8.77,72.65,57.3
26-08-2020,298.3,302.7,278.4,285.25,290.26,1669287,20900,484528401,273186,16.37,24.3,-13.05
