Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
15-04-2020,1201,1235.95,1142.7,1150.05,1181.96,834155,32228,985936742,243999,29.25,93.25,-50.95
16-04-2020,1146.6,1187.35,1146.6,1168.7,1173.75,592064,30132,694932678,104523,17.65,40.75,22.1
17-04-2020,1220,1229.9,1192.7,1225.05,1209.05,559314,25002,676236279,179303,32.06,37.2,5.05
20-04-2020,1226.5,1257,1202.3,1244.45,1228.7,796389,22491,978526010,87130,10.94,54.7,17.95
21-04-2020,1208.1,1252.55,1164.45,1236.05,1202.75,1147259,46201,1379866159,160413,13.98,88.1,27.95
22-04-2020,1320,1384.7,1300,1363.35,1341.8,2629550,88016,3528330242,430128,16.36,84.7,43.35
23-04-2020,1369.7,1385.85,1354.25,1371.5,1370.97,1465213,36634,2008759209,169508,11.57,31.6,1.8
24-04-2020,1354.9,1495,1348,1417.35,1426.94,2452068,84839,3498956860,298577,12.18,147,62.45
27-04-2020,1440,1474.55,1422.95,1430.3,1449.14,1152767,42860,1670522415,204866,17.77,51.6,-9.7
28-04-2020,1451.4,1454.75,1391.95,1428.1,1421.15,1301548,49487,1849694793,159436,12.25,62.8,-23.3
29-04-2020,1446,1453.05,1420.5,1426.2,1436.2,642967,25581,923429076,119218,18.54,32.55,-19.8
30-04-2020,1454,1494.5,1440,1467.05,1469.7,1277127,47637,1876995490,199937,15.66,54.5,13.05
04-05-2020,1442,1464.9,1419.75,1435.4,1443.43,978857,36490,1412912322,234783,23.99,45.15,-6.6
05-05-2020,1451.05,1478.8,1447,1461,1463.57,656560,27479,960923481,118929,18.11,31.8,9.95
06-05-2020,1462,1484,1446,1461.65,1465.98,690133,29037,1011718435,101372,14.69,38,-0.35
07-05-2020,1450,1513.7,1444.9,1507.25,1484.25,991823,37440,1472115637,215787,21.76,68.8,57.25
08-05-2020,1550,1579.7,1537.6,1561.8,1560.21,1432366,48435,2234792755,292323,20.41,42.1,11.8
11-05-2020,1582,1614.85,1572,1576.75,1592.81,1066351,37832,1698496295,236991,22.22,42.85,-5.25
12-05-2020,1578,1578,1455,1480.25,1539.2,2865647,58351,4410807358,1600772,55.86,123,-97.75
13-05-2020,1534.75,1534.75,1454,1496.4,1479.47,1489557,51128,2203760432,138373,9.29,80.75,-38.35
14-05-2020,1472,1496.4,1430.05,1435.45,1457,795955,36568,1159704737,130235,16.36,66.35,-36.55
15-05-2020,1445.7,1467,1415.55,1458.9,1441.76,953907,37182,1375306823,139312,14.6,51.45,13.2
18-05-2020,1471.8,1482,1428,1440.65,1452.46,1308019,44307,1899842847,158182,12.09,54,-31.15
19-05-2020,1461.9,1461.9,1404,1408.15,1436.57,714335,29316,1026191510,139032,19.46,57.9,-53.75
20-05-2020,1407.3,1445.85,1393.65,1434.65,1426.61,907872,31809,1295176874,110171,12.14,52.2,27.35
21-05-2020,1438,1460.85,1425.35,1440.05,1444.26,558823,22685,807087389,84382,15.1,35.5,2.05
22-05-2020,1454.8,1458.5,1426.8,1431.6,1441.7,579294,23822,835167693,108878,18.79,31.7,-23.2
26-05-2020,1439.4,1449,1416.3,1423.7,1428.98,468721,19817,669794591,135697,28.95,32.7,-15.7
27-05-2020,1434,1454.1,1412.2,1446.95,1431.54,627533,26036,898340172,174486,27.8,41.9,12.95
28-05-2020,1455,1479.2,1450.55,1472.65,1467.16,641847,26500,941695014,166443,25.93,28.65,17.65
29-05-2020,1470.7,1471.5,1453,1465.2,1461.24,590240,20172,862484485,251562,42.62,18.5,-5.5
01-06-2020,1480,1539.2,1475.65,1520.45,1515.91,1016979,35937,1541643590,246355,24.22,63.55,40.45
02-06-2020,1521,1540,1521,1536.1,1532.3,418550,22789,641342272,112699,26.93,19,15.1
03-06-2020,1545,1559,1533.25,1542.45,1543.62,444528,20818,686183959,126626,28.49,25.75,-2.55
04-06-2020,1540,1589,1540,1579.95,1568.84,710718,28904,1115004726,160643,22.6,49,39.95
05-06-2020,1601.9,1617.7,1574.3,1580.6,1595.64,658406,28276,1050576106,133745,20.31,43.4,-21.3
08-06-2020,1624,1624,1565.05,1570.05,1586.7,1111940,30116,1764312865,173493,15.6,58.95,-53.95
09-06-2020,1580,1582.35,1533.05,1537.1,1555.93,504634,21273,785173622,100603,19.94,49.3,-42.9
10-06-2020,1541.1,1579,1540.6,1572,1558.72,421611,18078,657173054,83326,19.76,38.4,30.9
11-06-2020,1569,1569,1530.95,1537.5,1546.55,330910,16229,511769080,94120,28.44,38.05,-31.5
12-06-2020,1495,1593,1495,1588.8,1551.6,772239,29168,1198209257,129587,16.78,98,93.8
15-06-2020,1577,1626.7,1561.55,1615,1594.79,1125400,44253,1794779989,192008,17.06,65.15,38
16-06-2020,1641.5,1647.85,1585.15,1617.5,1617.35,1267703,54561,2050316156,261683,20.64,62.7,-24
17-06-2020,1608,1634.95,1602,1615.4,1614.86,890838,24804,1438576538,308685,34.65,32.95,7.4
18-06-2020,1605.55,1665,1605.55,1656.25,1638.08,1013987,40623,1660989991,390706,38.53,59.45,50.7
19-06-2020,1674.7,1788.6,1660.6,1759.5,1714.82,2929255,91477,5023134416,1015358,34.66,128,84.8
22-06-2020,1775.05,1804.1,1734.85,1747.2,1772.52,2036832,65327,3610323495,283151,13.9,69.25,-27.85
23-06-2020,1754,1764.15,1715.8,1720.05,1732.5,1353529,42809,2344990676,246692,18.23,48.35,-33.95
24-06-2020,1739.8,1772,1712.6,1727.35,1742.33,1358724,39757,2367346524,188266,13.86,59.4,-12.45
25-06-2020,1729,1749,1713.85,1717.95,1730.23,654657,22821,1132707547,176149,26.91,35.15,-11.05
26-06-2020,1730.35,1751.5,1717.2,1742.6,1735.04,1385178,38748,2403346116,402954,29.09,34.3,12.25
29-06-2020,1728,1738.9,1715,1723.15,1723.16,670107,24679,1154700862,288690,43.08,23.9,-4.85
30-06-2020,1736.3,1740.7,1696,1703.35,1719.47,992945,24538,1707342597,261231,26.31,44.7,-32.95
01-07-2020,1718,1748.65,1708.75,1737.9,1730.64,469138,18240,811909942,140927,30.04,39.9,19.9
02-07-2020,1750,1766.8,1734.4,1760.55,1755.87,815775,34143,1432394569,287697,35.27,32.4,10.55
03-07-2020,1781.05,1792.8,1768.5,1787.5,1780.47,857283,33193,1526368372,254855,29.73,24.3,6.45
06-07-2020,1801.15,1858,1792,1851.4,1833.56,949421,34782,1740822637,281397,29.64,66,50.25
07-07-2020,1870,1870,1806.4,1823.95,1831.45,717717,31864,1314463501,132118,18.41,63.6,-46.05
08-07-2020,1826,1834.8,1790.1,1797.35,1812.85,583648,27939,1058064344,150101,25.72,44.7,-28.65
